year,overall_pick,round,team_drafted,player_name,college
2010,1,R1,Philadelphia Union,Danny Mwanga,Oregon State
2010,2,R1,Red Bull New York,Tony Tchani,Virginia
2010,3,R1,San Jose Earthquakes,Ike Opara,Wake Forest
2010,4,R1,Sporting Kansas City,Teal Bunbury,Akron
2010,5,R1,FC Dallas,Zach Loyd,North Carolina
2010,6,R1,Philadelphia Union,Amobi Okugo,UCLA
2010,7,R1,Philadelphia Union,Jack McInerney,
2010,8,R1,Columbus Crew,Dilly Duka,Rutgers
2010,9,R1,New England Revolution,Zack Schilawski,Wake Forest
2010,10,R1,Chivas USA,Blair Gavin,Akron
2010,11,R1,Seattle Sounders,David Estrada,UCLA
2010,12,R1,Columbus Crew,Bright Dike,Notre Dame
2010,13,R1,Chicago Fire,Corben Bone,Wake Forest
2010,14,R1,Red Bull New York,Austin da Luz,Wake Forest
2010,15,R1,Real Salt Lake,Collen Warner,Portland
2010,16,R1,LA Galaxy,Michael Stephens,UCLA
2010,17,R2,Philadelphia Union,Toni Ståhl,Connecticut
2010,18,R2,Red Bull New York,Tim Ream,Saint Louis
2010,19,R2,San Jose Earthquakes,Michael Thomas,Notre Dame
2010,20,R2,Sporting Kansas City,Korede Aiyegbusi,NC State
2010,21,R2,FC Dallas,Andrew Wiedeman,California
2010,22,R2,Colorado Rapids,Andre Akpan,Harvard
2010,23,R2,Colorado Rapids,Ross LaBauex,Virginia
2010,24,R2,Toronto FC,Zachary Herold,
2010,25,R2,New England Revolution,eth Sinovic,Creighton
2010,26,R2,Chicago Fire,Kwame Watson-Siriboe,Connecticut
2010,27,R2,Seattle Sounders,Mike Seamon,Villanova
2010,28,R2,San Jose Earthquakes,Justin Morrow,Notre Dame
2010,29,R2,Chicago Fire,Drew Yates,Maryland
2010,30,R2,San Jose Earthquakes,Steven Beitashour,San Diego State
2010,31,R2,New England Revolution,Zak Boggs,South Florida
2010,32,R2,Real Salt Lake,Justin Davis,New Mexico
2010,33,R3,Philadelphia Union,Kyle Nakazawa,UCLA
2010,34,R3,Red Bull New York,Conor Chinn,San Francisco
2010,35,R3,Chivas USA,Kevin Tangney,Maryland
2010,36,R3,Sporting Kansas City,Nick Cardenas,San Diego State
2010,37,R3,San Jose Earthquakes,Andrew Hoxie,William & Mary
2010,38,R3,FC Dallas,Jason Yeisley,Penn State
2010,39,R3,Real Salt Lake,Chris Schuler,Creighton
2010,40,R3,Colorado Rapids,Chad Borak,Cal State Northridge
2010,41,R3,Sporting Kansas City,Mauro Fuzetti,Michigan
2010,42,R3,Chivas USA,Isaac Kissi,Dayton
2010,43,R3,Houston Dynamo,David Walker,UC Santa Barbara
2010,44,R3,FC Dallas,Eric Alexander,Indiana
2010,45,R3,Chicago Fire,Steven Kinney,Elon
2010,46,R3,Houston Dynamo,Samuel Appiah,Boston University
2010,47,R3,Chivas USA,Ben Zemanski,Akron
2010,48,R3,New England Revolution,Jason Griffiths,Kentucky
2010,49,R4,Philadelphia Union,Brian Perk,UCLA
2010,50,R4,Red Bull New York,Irving Garcia,UC Irvine
2010,51,R4,Chicago Fire,Sean Johnson,Central Florida
2010,52,R4,Sporting Kansas City,Ofori Sarkodie,Indiana
2010,53,R4,Toronto FC,Joseph Nane,Old Dominion
2010,54,R4,FC Dallas,Dane Saintus,
2010,55,R4,D.C. United,Jordan Graye,North Carolina
2010,56,R4,Colorado Rapids,Chris Cutshaw,Bradley
2010,57,R4,New England Revolution,Adam Welch,Lehigh
2010,58,R4,Chivas USA,Chris Ross,Colgate
2010,59,R4,Seattle Sounders,Jamel Wallace,San Diego State
2010,60,R4,Columbus Crew,Kwaku Nyamekye,Harvard
2010,61,R4,Columbus Crew,Othaniel Yanez,Louisville
2010,62,R4,Houston Dynamo,Euan Holden,New Mexico
2010,63,R4,Columbus Crew,Shaun Francis,Lindsey Wilson
2010,64,R4,Real Salt Lake,Kris Banghart,Denver
2011,1,R1,Vancouver Whitecaps FC,Omar Salgado,
2011,2,R1,Portland Timbers,Darlington Nagbe,Akron
2011,3,R1,D.C. United,Perry Kitchen,Akron
2011,4,R1,Chivas USA,Zarek Valentin,Akron
2011,5,R1,Philadelphia Union,Zac MacMath,Maryland
2011,6,R1,New England Revolution,A.J. Soares,California
2011,7,R1,Houston Dynamo,Kofi Sarkodie,Akron
2011,8,R1,Vancouver Whitecaps FC,Michael Nanchoff,Akron
2011,9,R1,Chicago Fire,Jalil Anibaba,North Carolina
2011,10,R1,Sporting Kansas City,C.J. Sapong,James Madison
2011,11,R1,Houston Dynamo,Will Bruin,Indiana
2011,12,R1,Columbus Crew,Rich Balchan,Indiana
2011,13,R1,Red Bull New York,Corey Hertzog,Penn State
2011,14,R1,Chivas USA,Víctor Estupiñán,
2011,15,R1,Columbus Crew,Justin Meram,Michigan
2011,16,R1,LA Galaxy,Paolo Cardozo,
2011,17,R1,FC Dallas,Bobby Warshaw,Stanford
2011,18,R1,Colorado Rapids,Eddie Ababio,North Carolina
2011,19,R2,Vancouver Whitecaps FC,Jeb Brovsky,Notre Dame
2011,20,R2,Seattle Sounders,Michael Tetteh,UC Santa Barbara
2011,21,R2,Seattle Sounders,Leone Cruz,
2011,22,R2,Portland Timbers,Chris Taylor,Tulsa
2011,23,R2,Philadelphia Union,Michael Farfan,North Carolina
2011,24,R2,New England Revolution,Stephen McCarthy,North Carolina
2011,25,R2,Red Bull New York,Johnoney,
2011,26,R2,Toronto FC,Demitrius Omphroy,California
2011,27,R2,Seattle Sounders,Servando Carrasco,California
2011,28,R2,Columbus Crew,Cole Grossman,Duke
2011,29,R2,Seattle Sounders,Bryan Meredith,Monmouth
2011,30,R2,Red Bull New York,Tyler Lassiter,NC State
2011,31,R2,D.C. United,Chris Korb,Akron
2011,32,R2,Sporting Kansas City,J. T. Murray,Louisville
2011,33,R2,San Jose Earthquakes,Anthony Ampaipitakwong,Akron
2011,34,R2,LA Galaxy,Hector Jiménez,California
2011,35,R2,FC Dallas,Charlie Campbell,Louisville
2011,36,R2,Colorado Rapids,Colin Givens,Michigan State
2011,37,R3,Vancouver Whitecaps FC,Bilal Duckett,Notre Dame
2011,38,R3,Red Bull New York,Billy Crtes,Maryland
2011,39,R3,New England Revolution,Steven Perry,Notre Dame
2011,40,R3,Chivas USA,Jon Okafor,Brown
2011,41,R3,Philadelphia Union,Levi Houapeu,UMBC
2011,42,R3,New England Revolution,Ryan Kinne,Monmouth
2011,43,R3,Toronto FC,Matt Gold,Ohio State
2011,44,R3,Toronto FC,Junior Burgos,Cal Poly
2011,45,R3,Chicago Fire,Jason Herrick,Maryland
2011,46,R3,Sporting Kansas City,Konrad Warzycha,Ohio State
2011,47,R3,Seattle Sounders,Alex Caskey,Davidson
2011,48,R3,Columbus Crew,Bernardo Añor,South Florida
2011,49,R3,Toronto FC,Joao Plata,
2011,50,R3,D.C. United,Joe Willis,Denver
2011,51,R3,Chicago Fire,Davis Paul,California
2011,52,R3,Real Salt Lake,Jarad van Schaik,Portland
2011,53,R3,FC Dallas,Scott Gordon,Lynn (FL)
2011,54,R3,New England Revolution,Alan Koger,William & Mary
2012,1,R1,CF Montréal,Andrew Wenger,Duke
2012,2,R1,Vancouver Whitecaps FC,Darren Mattocks,Akron
2012,3,R1,New England Revolution,Kelyn Rowe,UCLA
2012,4,R1,Toronto FC,Luis Silva,UC Santa Barbara
2012,5,R1,Chivas USA,Casey Townsend,Maryland
2012,6,R1,San Jose Earthquakes,Sam Garza,UC Santa Barbara
2012,7,R1,D.C. United,Nick DeLeon,Louisville
2012,8,R1,Portland Timbers,Andrew Jean-Baptiste,Connecticut
2012,9,R1,Chicago Fire,Austin Berry,Louisville
2012,10,R1,Columbus Crew,Ethan Finlay,Creighton
2012,11,R1,FC Dallas,Matt Hedges,North Carolina
2012,12,R1,Toronto FC,Aaron Maund,Notre Dame
2012,13,R1,Philadelphia Union,Chandler Hoffman,UCLA
2012,14,R1,Colorado Rapids,Tony Cascio,Connecticut
2012,15,R1,Seattle Sounders,Andrew Duran,Creighton
2012,16,R1,Sporting Kansas City,Dom Dwyer,South Florida
2012,17,R1,Real Salt Lake,Enzo Martínez,North Carolina
2012,18,R1,Houston Dynamo,Colin Rolfe,Louisville
2012,19,R1,LA Galaxy,Tommy Meyer,Indiana
2012,20,R2,CF Montréal,Calum Mallace,Marquette
2012,21,R2,Vancouver Whitecaps FC,Chris Estridge,Indiana
2012,22,R2,New England Revolution,Tyler Polak,Creighton
2012,23,R2,Chicago Fire,Lucky Mkosana,Dartmouth
2012,24,R2,Real Salt Lake,Diogo de Almeida,
2012,25,R2,San Jose Earthquakes,Jacob Hustedt,Washington
2012,26,R2,Columbus Crew,Aubrey Perry,South Florida
2012,27,R2,Portland Timbers,Brendan King,Notre Dame
2012,28,R2,Chicago Fire,Hunter Jumper,Virginia
2012,29,R2,Columbus Crew,Kevan George,Central Florida
2012,30,R2,Sporting Kansas City,Cyprian Hedrick,Coastal Carolina
2012,31,R2,Red Bull New York,Ryan Meara,Fordham
