state,club_name,website_url,source_page
Alabama,Alabaster Competitive SC,https://parkbench.com/directory/alabaster-competitive-soccer-club-acsc,https://ussoccerparent.com/alabama/
Alabama,Alabama FC,https://www.birminghamunited.com/about-alabama-fc/,https://ussoccerparent.com/alabama/
Alabama,Alabama FC South,https://alabamafcsouth.org/,https://ussoccerparent.com/alabama/
Alabama,Alabama Rush,https://www.alabamarushsoccer.com/,https://ussoccerparent.com/alabama/
Alabama,Alabama Rush Soccer,https://www.alabamarushsoccer.com/,https://ussoccerparent.com/alabama/
Alabama,Alamo FC,https://www.alamofc.com/,https://ussoccerparent.com/alabama/
Alabama,Arab Unknighted,https://www.arabuknighted.org/,https://ussoccerparent.com/alabama/
Alabama,Arsenal Christian Soccer Academy,https://arsenalchristiansocceracademy.com/,https://ussoccerparent.com/alabama/
Alabama,Auburn Soccer Club,https://www.auburnsoccerclub.com/academy,https://ussoccerparent.com/alabama/
Alabama,Auburn Thunder,https://www.auburnsoccerclub.com/,https://ussoccerparent.com/alabama/
Alabama,AYSO Alliance,https://ayso.org/ayso-alliance/,https://ussoccerparent.com/alabama/
Alabama,AYSO United,https://ayso.org/ayso-united/,https://ussoccerparent.com/alabama/
Alabama,Baldwin Rush,https://www.baldwinrush.com/,https://ussoccerparent.com/alabama/
Alabama,Birmingham United Soccer Association (BUSA),https://www.birminghamunited.com/,https://ussoccerparent.com/alabama/
Alabama,Blount County Youth Soccer,https://blountunited.com/,https://ussoccerparent.com/alabama/
Alabama,Blount County Youth Soccer,https://www.parksrec.com/recreation-program/sports/youth-soccer,https://ussoccerparent.com/alabama/
Alabama,Briarwood Youth Soccer,https://briarwood.org/outreach/quest-recreation-outreach/soccer-club/,https://ussoccerparent.com/alabama/
Alabama,Butler United FC,https://www.butlerunitedsoccer.com/,https://ussoccerparent.com/alabama/
Alabama,Calera Parks and Recreation,https://briarwood.org/outreach/quest-recreation-outreach/soccer-club/,https://ussoccerparent.com/alabama/
Alabama,Central Baldwin FC,https://www.facebook.com/centralbaldwinfutbolclub/,https://ussoccerparent.com/alabama/
Alabama,Citronelle Youth Soccer Academy,https://citronelle-youth-soccer-academy.sportsgrounds.us.com/,https://ussoccerparent.com/alabama/
Alabama,Club Independent,http://clubindependent.org/,https://ussoccerparent.com/alabama/
Alabama,Cullman United,http://cullmanunited.org/,https://ussoccerparent.com/alabama/
Alabama,Decatur Youth Soccer,https://www.decatursoccer.com/,https://ussoccerparent.com/alabama/
Alabama,Demopolis River City,https://www.facebook.com/groups/114430021911058/,https://ussoccerparent.com/alabama/
Alabama,EYSA,https://www.alabamarushsoccer.com/eysa-spring-2023-rec-season-info,https://ussoccerparent.com/alabama/
Alabama,Fairhope Soccer Club,https://www.fairhopesoccerclub.com/,https://ussoccerparent.com/alabama/
Alabama,FC Birmingham,https://fcbirmingham.com/academy/,https://ussoccerparent.com/alabama/
Alabama,FC Montgomery,https://fcmontgomery.com/,https://ussoccerparent.com/alabama/
Alabama,Fort Payne / DC Inferno,https://dcinfernosoccer.wordpress.com/,https://ussoccerparent.com/alabama/
Alabama,Gardendale SC,https://www.socceronline.org/,https://ussoccerparent.com/alabama/
Alabama,Helena Huskies Soccer Club,https://cityofhelena.org/parks-recreation/youth-soccer/,https://ussoccerparent.com/alabama/
Alabama,Homewood Soccer Club,https://www.homewoodsoccer.com/,https://ussoccerparent.com/alabama/
Alabama,Hoover Soccer Club,https://www.hooversoccerclub.com/,https://ussoccerparent.com/alabama/
Alabama,Hoover-Vestavia Soccer,https://hoovervestaviasoccer.com/,https://ussoccerparent.com/alabama/
Alabama,Hueytown Youth Soccer Association,https://www.facebook.com/hueytownsoccer/,https://ussoccerparent.com/alabama/
Alabama,Madison Blaze Soccer Club,https://madisonblazesoccer.com/home-1,https://ussoccerparent.com/alabama/
Alabama,Montevallo Youth Club,http://www.montevalloparksandrec.com/SoccerInfo.aspx,https://ussoccerparent.com/alabama/
Alabama,Moody Soccer Club,https://moodysoccer.gotsportsites.com/,https://ussoccerparent.com/alabama/
Alabama,Montgomery United Soccer Club,https://www.monusoccer.org/fall-turf-classic-tournament/,https://ussoccerparent.com/alabama/
Alabama,North Alabama SC,https://www.northalabamasc.org/,https://ussoccerparent.com/alabama/
Alabama,North Alabama Soccer Coalition (North Alabama SC),https://www.northalabamasc.org/club-info,https://ussoccerparent.com/alabama/
Alabama,North Star Soccer Club,https://www.northstarsoccerministries.org/,https://ussoccerparent.com/alabama/
Alabama,NOW Soccer Academy,http://now-soccer.com/,https://ussoccerparent.com/alabama/
Alabama,Opelika Soccer Association,https://opelikacrushcom.wordpress.com/,https://ussoccerparent.com/alabama/
Alabama,Pelham Parks and Recreation Youth Soccer,https://pelhamalabama.gov/806/Boys-and-Girls-Soccer,https://ussoccerparent.com/alabama/
Alabama,Pell City FC,https://www.pellcityfc.com/,https://ussoccerparent.com/alabama/
Alabama,Pell City United SC/Pell City Parks and Recreation,https://pell-city.com/athletics/,https://ussoccerparent.com/alabama/
Alabama,Phoenix FC AL,https://www.phoenixfcal.com/home,https://ussoccerparent.com/alabama/
Alabama,Prattville United SC,https://prattvilleunitedsoccerclub.teamapp.com/?_webpage=v1,https://ussoccerparent.com/alabama/
Alabama,Revolution Soccer Club,https://www.revsoccer.net/,https://ussoccerparent.com/alabama/
